catalog Position,Title,author,Year Published,genre,Section,Total-copies,Times borrowed,Last borrowed_date,Rating,Ratings count,Price,Language,Page count,ISBN,subjects,Dimensions,Thumbnail
A4-B2-0017,Sleeping Murder,Agatha Christie,1940,Crime/Thriller,Fiction,5,19,11_Sep_24,4.68 out of 5 stars,12 ratings,$9.99 ,en,308,,"Fiction, Jane Marple (Fictitious character), Women detectives, Women detectives in fiction, Mystery, Large type books, English Detective and mystery stories, Translations into French, English literature, Fiction, mystery & detective, traditional, Fiction, mystery & detective, women sleuths, Marple, jane (fictitious character), fiction, England, fiction, Detective and mystery stories, Inspectrices de police, Romans, nouvelles",6.03 x 1.32 x 6.44 inches,
A4-B2-0018,The Exorcist,William Peter Blatty,1971,Horror,Fiction,5,102,15_Apr_24,4.65 out of 5 stars,74 ratings,$0.99 ,en,134,,"Fiction, Horror, horror fiction, demonic possession, Gothic Revival, priests, demons, bishops, heart arrhythmia, Jesuits, atheism, Exorcism, Demoniac possession, Fiction, horror, Fiction, psychological, Fiction, thrillers, Motion pictures, FICTION / Horror",6.43 x 0.77 x 8.88 inches,
A4-B2-0019,The Circular Staircase,Mary Roberts Rinehart,1908,Crime/Thriller,Fiction,6,3,8_Nov_24,3.75 out of 5 stars,3 ratings,$5.25 ,en,386,,"Classic Literature, Fiction, Detective and mystery stories, Innes, rachel (fictitious character), fiction, Adirondack mountains (n.y.), fiction, Fiction, suspense, Large type books, Open Library Staff Picks, Middle-aged women, Investigation, Murder, Country homes, Fiction, thrillers, suspense, Fiction, mystery & detective, general, Crime, fiction, United states, fiction, Country homes -- Fiction, Murder -- Investigation -- Fiction, Mystery fiction, Middle-aged women -- Fiction, Mystery",6.43 x 1.55 x 9.24 inches,
A4-B2-0020,Cranford,Elizabeth Cleghorn Gaskell,1853,Drama,Fiction,6,5,28_Jun_24,4.18 out of 5 stars,4 ratings,$0.99 ,en,132,,"Fiction, Older women, Villages, Sisters, Female friendship, Country life, Women, Social life and customs, Classic Literature, Drama, Romance, Literature, Children's fiction, British and irish fiction (fictional works by one author), England, fiction, Sisters, fiction, Friendship, fiction, Fiction, religious, England -- Fiction, Sisters -- Fiction, Pastoral fiction, Villages -- Fiction, Older women -- Fiction, Female friendship -- Fiction, Romans, nouvelles, MÃ…â€œurs et coutumes, Manners and customs, English literature, SÃ…â€œurs, Femmes ÃƒÂ¢gÃƒÂ©es, AmitiÃƒÂ© fÃƒÂ©minine, Textbooks for foreign speakers, High interest-low vocabulary books, Readers for new literates, English language, Readers (Secondary), Readers, English language, juvenile literature, Fiction, general, Problems, exercises, Reading comprehension, Readers (Adult), Single women, fiction, English Pastoral fiction",6.60 x 0.54 x 8.45 inches,
A4-B2-0021,The American,Henry James,1877,Drama,Fiction,5,7,7_Aug_24,4.18 out of 5 stars,7 ratings,$10 ,en,262,,"American Manuscripts, Widows, Courtship in fiction, Culture conflict in fiction, Aristocracy (Social class), Widows in fiction, Culture conflict, Americans in fiction, Fiction, Americans, Facsimiles, Separation (Psychology), Courtship, Classic Literature, Manuscripts, The American (James), American fiction (fictional works by one author), Paris (france), fiction, Fiction, psychological, Widows, fiction, Man-woman relationships, fiction, Psychological fiction, Fiction, general, United states, fiction, Large type books, United states, social life and customs, James, henry, 1843-1916, Atlantic states, description and travel, Description and travel, Social life and customs, Travel, Manners and customs, United states, description and travel, Travelers' writings, American, Families, American literature, Upper class, Brothers and sisters, Amours, Romans, nouvelles",7.75 x 1 x 5.1 inches,
A4-B2-0022,Sapiens: A Brief History of Humankind,Yuval Noah Harari,2011,History,Non-Fiction,2,856,11_Nov_24,4.64 out of 5 stars,"1,418 ratings",$0.99 ,en,403,,"Technology and civilization, Human beings, Historical Chronology, Historia universal, Historia, Civilization, Hombre, World history, History, Non-Fiction, Science, SCIENCE / Life Sciences / General, SCIENCE / General, SCIENCE / Life Sciences / Evolution, Weltgeschichte, Civilization, history, Chronology, historical, Chronologie historique, Technologie et civilisation, Histoire universelle, Histoire, Humans, Civilisation, Homme, nyt:combined-print-and-e-book-nonfiction=2015-03-01, New York Times bestseller, Life Sciences, Evolution, General, Menschheit, HumanitÃƒÂ©, MÃƒÂ¤nniskan, Fysisk antropologi, Human, Sapiens, nyt:paperback-nonfiction=2018-06-03, Comics & graphic novels, adaptations, Zivilisation, Society, Psychology, Economic history, Cognition and culture, Civilization--history, Human beings--history, Technology and civilization--history, Cb113.h4 h3713 2015, 599.9, Sci027000 sci086000 sci000000, CronologÃƒÂ­a histÃƒÂ³rica, TecnologÃƒÂ­a y civilizaciÃƒÂ³n",6.34 x 1.60 x 7.74 inches,
A4-B2-0023,Three guineas,Virginia Woolf,1938,History,Humanities,5,7,18_Nov_24,4.37 out of 5 stars,4 ratings,$9.99 ,en,208,,"War, Peace, Women, Social conditions, War00, War. 0, Feminist theory, Women's rights, History, Prevention, Large type books, NOVELAS INGLESAS, Women, great britain, Women, social conditions, Donna, Emancipazione, Gran Bretagna, Literature, history and criticism, Philosophy, War--prevention, Women--social conditions, Women--england--social conditions, Pr6045.o72 t5 2006, 823/.912",5.31 x 0.45 x 8 inches,
A4-B2-0024,"Farewell, Nikola!",Guy Boothby,1901,Novels,Fiction,5,2,13_Aug_24,No rating available,No reviews,Price not available,en,210,,"Fiction, general, Venice (italy), fiction",5.42 x 0.74 x 8.27 inches,
A4-B2-0025,Γοργίας ,Plato,1827,Philosophy,Humanities,6,1,21_Dec_24,No rating available,No reviews,Price not available,el,176,,"Classic Literature, Fiction, OverDrive, Accessible book, Early works to 1800, Ethics, Political science, Ancient Philosophy, great_books_of_the_western_world, open_syllabus_project, Love, Greek language materials, Political science, early works to 1800, Rhetoric, Morale, Ouvrages avant 1800, Science politique, Gorgias (Plato), Philosophy, ancient, Plato, Ethics, ancient, Rhetoric, ancient, Translations into Latin, Greek Dialogues, Textual Criticism, Greek language, Translating into Latin, Ancient Ethics, Ancient Rhetoric, Contributions in political science, Children's fiction, Ships, Shipbuilding, History, Ancient Ships, Political science--early works to 1800, B371.a5 h3 1971, 170, B371.a5 i78, Literary collections, Ethics--early works to 1800, B371.a5 n53 1998b, Philosophy, Spirituality",6.5 x 2 x 9.25 inches,
A4-B2-0026,"The octopus, a story of California",Frank Norris,1901,Crime/Thriller,Fiction,5,3,15_Jan_25,4.37 out of 5 stars,2 ratings,$8.90 ,en,488,,"Fiction, Wheat farmers, Farmers, Mussel Slough Tragedy, 1880, Railroads, Wheat, Farm life, Central Pacific Railroad, American fiction, Mussel Slough Tragedy (1880) fast (OCoLC)fst01031083, Fiction, general, California, fiction, American fiction (fictional works by one author), Railroad stories",6 x 0.87 x 9 inches,
A4-B2-0027,Charlotte's Web,E. B. White,1952,Fantasy,Children,5,1,29_Nov_24,No rating available,No reviews,Price not available,en,129,979-5-331-7897-0,"Farm life, Animals, Juvenile fiction, Domestic animals, Fantasy, Spiders, Fiction, Friendship, Swine, juvenile works, Massachusetts Children's Book Award winner, Readers, Pets, Open Library Staff Picks, Latin language materials, Pigs, Folklore, Spanish language materials, American farm life, FicciÃƒÂ³n juvenil, Cerdos, AraÃƒÂ±as, Amistad, Animales domÃƒÂ©sticos, Vida agrÃƒÂ­cola, Children's stories, Korean language materials, Blind, Books and reading, English language, For National Curriculum Key Stage 2, English, English (ie as school subject), Spanish stories, Award winning books, Farms, Large type books, Newbery Honor, Spiders, fiction, Children's fiction, Pigs, fiction, Friendship, fiction, Domestic animals, fiction, Farm life, fiction, Humorous stories, Chinese language materials, Stuart Little (Fictitious character), Trumpeter swan, Mice, Swans, Children's books, Stories, Materiales en espaÃƒÂ±ol, Spanish language, Novela juvenil, French language materials, Fantasy fiction, Women, fiction, Accessible book, Protected DAISY, Pets, fiction, Animals, fiction, Love, fiction, Insects, fiction, Authors, juvenile literature, Authors, Domestic animals, juvenile literature, Porcs, Romans, nouvelles, etc. pour la jeunesse, Exploitations agricoles, AraignÃƒÂ©es, Tong hua, Newbery Medal, Children's stories, Italian, Newbery Honor book, crianÃƒÆ’Ã‚Â§a",5.12 x 0.38 x 7.62 inches,
A4-B2-0028,Heroides,Ovid,1502,Poetry,Humanities,4,8,14_Oct_24,4.56 out of 5 stars,5 ratings,$16.06 ,en,190,,"Latin language materials, Latin Epistolary poetry, Latin Love poetry, Classical Mythology, Love-letters, Poetry, Women, Poetry (poetic works by one author), Epic poetry, Mythology, Translations into Italian, Mythology), Separation (Psychology), Translations into French, Penelope (Greek mythology), Translations into Spanish, Translations into English, Man-woman relationships, History and criticism, Deianira (Greek mythology), Drama, Jason (Greek mythology), Ancient Oratory, Greek Mythology",7.77 x 0.7 x 5.05 inches,
A4-B2-0029,The Defendant,Gilbert Keith Chesterton,1901,History,Non-Fiction,5,3,5_Oct_24,4.41 out of 5 stars,2 ratings,$0.99 ,en,188,,"Essays, History, Nonfiction, English essays, British and irish fiction (fictional works by one author), Essays (single author), Philosophy",5.93 x 0.79 x 8.33 inches,
A4-B2-0030,Sobranie sochinenii v dvadtsati dvukh tomakh,Lev Tolstoy,1882,Religion,Humanities,5,1,17_Feb_25,,,$250.00 ,en,530,,"Russian literature, History and criticism, Christianity, Civil disobedience, Death, Nonviolence, Immortality, Spiritual life, Religious aspects of Death, Diaries, Idealism, Russian Fables, Religion, Russian language, Readers, Philosophy, Fairy tales, Russian Novelists, Christianity., Christian life, Christian ethics, Tolstoy, leo, graf, 1828-1910, Russian language materials, Correspondence, Religious aspects",6.59 x 1.83 x 6.63 inches,
A4-B2-0031,Ten Days That Shook the World,John Reed,1919,History,Non-Fiction,5,2,30_Aug_24,4.45 out of 5 stars,2 ratings,$12.99 ,en,244,,"History, Soviet union, history, revolution, 1917-1921, Revolution (Soviet Union : 1917-1921) fast (OCoLC)fst01907572, Communism, Nonfiction, Politics, Revolution, Personal narratives, Communism, soviet union, Histoire, Soviet Union -- History -- Revolution, 1917-1921, Communism -- Soviet Union, Russia, World history, Political science, Bolshevism",5.06 x 0.82 x 7.76 inches,
A4-B2-0032,Comus,John Milton,1738,Poetry,Fiction,5,2,4_Feb_25,4.17 out of 5 stars,1 rating,$307 ,en,68,,"Fiction, Librettos, Masques with music, Poetry, Romance, Scores, Values, Experience, Great britain, genealogy, Poetry (poetic works by one author), Fiction, romance, general, Large type books, Milton, john, 1608-1674, comus",4.25 x 0.25 x 6.88 inches,
A4-B2-0033,The Return of the King,J.R.R. Tolkien,1950,Fantasy,Fiction,6,60,29_Nov_24,4.97 out of 5 stars,42 ratings,$0.99 ,en,416,,"Elves, Hobbits, The Lord of the Rings, hope, fear, magic, Fiction, Fantasy, English Fantasy fiction, Juvenile fiction, Fantastic fiction, Textual Criticism, Middle Earth (Imaginary place), Chinese language materials, Adventure, Fantasy fiction, Frodo Baggins (Fictional character), Frodo Baggins (Fictitious character), Fiction, fantasy, epic, Middle earth (imaginary place), fiction, Baggins, frodo (fictitious character), fiction, British and irish fiction (fictional works by one author), Gandalf (fictitious character), fiction, English literature, Translations into French, Children's fiction, Quests (Expeditions), Wizards, Large type books, Spanish language edition, Roman, FranÃƒÂ§ais (langue), Lectures et morceaux choisis, BolsÃƒÂ³n, Frodo (Personaje literario), Novela, Tierra Media (Lugar imaginario), Historia de aventuras, Novela fantÃƒÂ¡stica, Literatura inglesa, Novela inglesa, Fiction, media tie-in, Fiction, fantasy, general",4.92 x 0.37 x 9.06 inches,
A4-B2-0034,The Vicomte of Bragelonne,Alexandre Dumas,1857,Historical Fiction,Fiction,5,1,26_Jan_25,No rating available,No reviews,$13.20 ,en,778,,"Fiction, History, Accessible book, Romans, Histoire",5.27 x 2.73 x 8.04 inches,
A4-B2-0035,The Invisible Man,H. G. Wells,1897,Science Fiction,Fiction,7,1,13_Nov_24,No rating available,No reviews,Price not available,en,310,,"Ciencia-ficciÃƒÂ³n, Classic Literature, Fiction, Mentally ill, Science Fiction & Fantasy, Science fiction, Scientists, English Science fiction, Experiments, Adaptations, Time travel, British and irish fiction (fictional works by one author), England, fiction, Scientists, fiction, Children's fiction, Mystery and detective stories, Literature and fiction, science fiction, Fiction, science fiction, general, English literature, English fiction, history and criticism, 20th century, Wells, h. g. (herbert george), 1866-1946, FICTION / Classics, FICTION / Science Fiction / General, FICTION / Horror, Juvenile fiction, Science, Roman pour la jeunesse, Comic and Graphic Books, Cartoons and comics, Comic books, strips, Animal experimentation, English language, French, Korean, German, Fiction, general, Fiction, historical, general, Elementary education of adults, Reading, remedial teaching, Spanish language, Readers, Horror tales, Psychological fiction, Scientists -- Fiction, Mentally ill -- Fiction, Science -- Experiments -- Fiction, Science -- Experiments",6.16 x 1.28 x 7.51 inches,
A4-B2-0036,"The adventures of Captain Bonneville, U.S.A.",Washington Irving,1800,Biography & Autobiography,Fiction,5,5,2_Dec_24,4.39 out of 5 stars,3 ratings,$0.99 ,en,298,,"Description and travel, Explorers, Biography, Frontier and pioneer life, Fur trade, Descriptions et voyages, Descriptions and travel, History, West (u.s.), description and travel, Northwestern states, description and travel, Large type books, Diaries, Histoire, Travel, Bonneville, benjamin louis eulalie de, 1796-1878, Frontier and pioneer life, west (u.s.), Fiction, Historical Fiction",5.25 x 1.35 x 8.25 inches,
A4-B2-0037,Mister President,Miguel Ãngel Asturias,1948,Drama,Fiction,4,3,9_Oct_24,4.64 out of 5 stars,2 ratings,$16.57 ,en,1198,,"Fiction, Politics and government, Despotism, Romans, nouvelles, Politique et gouvernement, Despotisme, Novela guatemalteca, Lehrmittel, Leseunterricht, Spanisch, Dictators, Translations into English, Modern Literature, Fiction, general, Spanish language, Readers, Fiction (fictional works by one author), Spanish language materials, EspaÃƒÂ±ol, Lectores, Dictadores, FicciÃƒÂ³n, Asturias, Miguel Angel. SenÃŒÆ’or presidente, Spanish fiction",5.1 x 0.54 x 7.7 inches,
A4-B2-0038,One Day in the Life of Ivan Denisovich,Aleksandr Solzhenitsyn,1960,Drama,Fiction,5,1,30_Apr_24,No rating available,No reviews,Price not available,en,343,979-0-179-3653-2,"Communism, Forced labor, Fiction, Russian fiction, Political fiction, Prison Life in Fiction, Concentration camps, Communism in literature, Prisons, Translations into English, Continental european fiction (fictional works by one author), Soviet union, fiction, History, Russian language, English language, Translations from Russian, Literature, Political prisoners, Russian, Russian Short stories, Komunisticky rezim, Pracovni tabory, Reading Level-Grade 11, Reading Level-Grade 10, Reading Level-Grade 12, Fiction, war & military, FICTION / Classics, FICTION / Historical, FICTION / Literary, Internment camps, Convict labor, Russe (langue), Lectures et morceaux choisis, Travail forcÃƒÂ©, Romans, nouvelles, Camps d'internement, Political persecution, Children's fiction, Fiction, general, Literary, English & college success -> english -> fiction",5.3 x 0.55 x 8 inches,
A4-B2-0039,"Ungava, a tale of the Esquimaux land",Robert Michael Ballantyne,1800,Adventure,Young Adult,5,3,17_Mar_24,4.25 out of 5 stars,3 ratings,Price not available,en,316,,"Fiction, historical, Fiction, action & adventure, Fiction, historical, general, Canadian fiction (English), CIHM, Roman canadien-anglais, ICMH, Youth, Juvenile fiction, Conduct of life, Eskimos, Outdoor life, Fur traders, Survival, Adventure stories, Voyages and travels, Nature stories, Scottish fiction, Indians of North America, Inuit, Fiction, Inuits, Romans, nouvelles, Native peoples, Romans, nouvelles, etc. pour la jeunesse, Roman ÃƒÂ©cossais, Coureurs de bois, Plein air, HabiletÃƒÂ©s de survie, RÃƒÂ©cits sur la nature",6.21 x 1.24 x 6.20 inches,
A4-B2-0040,"The life of Olaudah Equiano, or Gustavus Vassa, the African",Olaudah Equiano,1789,Biography & Autobiography,Non-Fiction,7,5,10_May_24,4.67 out of 5 stars,5 ratings,$5.45 ,en,282,,"Slavery, Voyages and travels, Social life and customs, Slaves, Biography, United States, Personal narratives, Biography: general, Slavery & emancipation, Social classes, Literary, Biography / Autobiography, Biography/Autobiography, Historical - General, Specific Groups - General, Equiano, Olaudah, Slavernij, Biographies, Esclaves, Slave trade, Slavery, great britain, Slavery, united states, History, 15.00 history: general, Indigenous peoples, Slaves, united states, Africa, biography, Blacks, biography, Biography & Autobiography, Nonfiction, Slavery, west indies, Great britain, biography, Abolitionists, Slave trade, africa, Slavery, africa, Enslaved persons, united states, United states, biography, Enslaved persons, Autobiography, African American authors, Equiano, olaudah , 1745-, Equiano, olaudah , 1745-1797, Slaves--great britain--biography, Slaves--united states--biography, Ht869.e6 a3 2003, 305.5/67/092 b, Ht869.e6 a3 2001, Biographies &amp; autobiographies, People of color, Slaves--biography, Ht869.e6 a3 1999, Fiction, general",6 x 0.36 x 9 inches,
A4-B2-0041,Atomic Habits,James Clear,2018,Self-Help,Non-Fiction,4,1472,17_Apr_24,4.82 out of 5 stars,"1,366 ratings",$13.79 ,en,234,,"Habit, Habit breaking, Behavior modification, Self-actualization (psychology), Business, psychology, Personal Growth, New York Times bestseller, BUSINESS & ECONOMICS / Organizational Behavior, PSYCHOLOGY / Social Psychology, SELF-HELP / Personal Growth / General., Self-help / personal growth / general",5.33 x 1.08 x 7.25 inches,
A4-B2-0042,The Fault in Our Stars,John Green,2012,Romance,Young Adult (YA),8,1059,19_Aug_24,4.62 out of 5 stars,"1,617 ratings",$9.09 ,en,318,,"Young Adult Fiction, CancerÃ¢â‚¬â€Fiction, Terminally illÃ¢â‚¬â€Fiction, LoveÃ¢â‚¬â€Fiction, Cancer, Fiction, Terminally ill, Love, Children's fiction, Cancer, fiction, Love, fiction, Cancer in adolescence, Terminally ill children, Young women, Conduct of life, Friendship, Sick, Physicians, Youth, Death, CancÃƒÂ©reux, Romans, nouvelles, etc. pour la jeunesse, Enfants malades en phase terminale, Histoires d'amour, Roman pour la jeunesse, Chez l'enfant, Self-help groups, Man-woman relationships, Teenage girls, Spanish language materials, Relaciones humanas, Interpersonal relations, FicciÃƒÂ³n juvenil, Cancer in children, NiÃƒÂ±os moribundos, NiÃƒÂ±os, CÃƒÂ¡ncer, Relaciones hombre-mujer, Juvenile fiction, FicciÃƒÂ³n, Patients, Cancer chez l'adolescent, Malades en phase terminale, Amour, Jeunes femmes, Morale pratique, AmitiÃƒÂ©, MÃƒÂ©decins, Jeunesse, Mort, Love stories, Juvenile works, Romance fiction, Osteosarcoma, Eye cancer, Nyt:chapter_books=2012-01-07, New york times bestseller, Enfermos terminales, Ficcion juvenil, Adolescent, Romance, Self-esteem & self-reliance, Neoplasms, Social themes, Amerikanisches englisch, Friends, Death & dying, Large type books, Sick young adult fiction, Interpersonal relations--young adult fiction, Cancer--young adult fiction, Thyroid neoplasms, Fictional works, Psychology, Attitude to death, 17.91 literature from and for special groups, 18.06 anglo-american literature",5.4 x 1.1 x 8.2 inches,
A4-B2-0043,Vom Kriege,Carl von Clausewitz,1835,History,Non-Fiction,6,1,30_Jun_24,4.59 out of 5 stars,1 rating,$4.95 ,en,404,,"Military art and science, War, Strategy, Military, Nonfiction, Oorlog, Kriegfu hrung, Quelle, Guerre, Art et science militaires, Art militaire, Wehrwissenschaft, Krieg, KriegfÃƒÂ¼hrung, Guerra, StratÃƒÂ©gie, HISTORY, War (philosophy), military science, French Revolution, astronomy, hostility, liberation, chance, enemy, military power, courage, reciprocal action, army, political object, attack, violence, Napoleonic wars, 1800-1815, Military policy, Armed Conflicts, U102 .c6557 2001, 355.4, Success in business, Politics and war",5.78 x 1.55 x 9.90 inches,
A4-B2-0044,Two Gentlemen of Verona,William Shakespeare,1632,Drama,Fiction,6,3,20_Nov_24,4.38 out of 5 stars,3 ratings,$14.95 ,en,76,,"Drama, Triangles (Interpersonal relations), Exiles, Plays, English Young adult drama, Problems, exercises, Fiction, Teatro ingles (periodo elizabetano), British and irish drama (dramatic works by one author), Shakespeare, william, 1564-1616, two gentlemen of verona, Drama, collections, Continental european drama (dramatic works by one author), Children's plays, Drama (dramatic works by one author), Concordances, English literature, Pictorial works, Juvenile fiction, DRAMA INGLES, Texts, English, Shakespeare, William, 1564-1616, Two gentlemen of Verona, Two gentlemen of Verona (Shakespeare, William), Comedies, Verona (Italy) -- Drama, Triangles (Interpersonal relations) -- Drama, Exiles -- Drama, Adaptations, Herbert, george, 1593-1633, Herrick, robert, 1591-1674, Shakespeare, william, 1564-1616, concordances, Triangles (interpersonal relations)--drama, Triangles (interpersonal relations)--italy--verona--drama, Exiles--drama, Pr2838.a2 r63 2000, Shakespeare, william , 1564-1616, Pr2838.a2 c37 2004, 822.33, Stage history",5.1 x 0.75 x 7.7 inches,
A4-B2-0045,The Labours of Hercules,Agatha Christie,1947,Crime/Thriller,Fiction,5,12,18_Sep_24,4.43 out of 5 stars,8 ratings,$15.19 ,en,255,,"Fiction, Hercule Poirot (Fictitious character), Private investigators, English Detective and mystery stories, Private investigators in fiction, Mystery, Large type books, Fiction, mystery & detective, general, Poirot, hercule (fictitious character), fiction, English literature, England, fiction, Fiction, mystery & detective, traditional, Fiction, short stories (single author), Private investigators, fiction, Belgium, fiction",5.99 x 0.94 x 7.36 inches,
A4-B2-0046,Hallowe'en Party,Agatha Christie,1969,Crime/Thriller,Fiction,4,45,18_Jun_24,4.33 out of 5 stars,36 ratings,$10.99 ,en,260,,"Fiction, Mystery, Murder, Murder Mystery, Private investigators, Private investigators in fiction, Hercule Poirot (Fictitious character), Senior detectives, Drowning victims, Murder investigations, Halloween, Belgian detectives, Mystery fiction, Parties, Detective and mystery stories, Detectives, Large type books, Ariadne Oliver (Fictitious character), English literature, Fiction, mystery & detective, general, Private investigators, fiction, Poirot, hercule (fictitious character), fiction, England, fiction, Fiction, mystery & detective, traditional, Mystery and detective stories, DÃƒÂ©tectives, Romans, nouvelles, Detectives privados, Novela, Comics & graphic novels, crime & mystery",6.14 x 0.88 x 8.98 inches,
A4-B2-0047,"The sketch-book of Geoffrey Crayon, Esq",Washington Irving,1819,Fantasy,Fiction,6,1,20_May_24,5.0 out of 5 stars,1 rating,$15.99 ,en,370,,"Fiction, Description and travel, Christmas, Social life and customs, Americans, American Fantasy fiction, Travel, History, American wit and humor, Fiction, short stories (single author), American fiction (fictional works by one author), England, description and travel, England, social life and customs, Catskill mountains region (n.y.), fiction, Classic Literature, Literary Anthologies, Short Stories, LittÃƒÂ©rature amÃƒÂ©ricaine, Text-books, American literature, Manuels, Literary landmarks, Christmas stories, Voyages, AmÃƒÂ©ricains, MÃ…â€œurs et coutumes, Histoire, Ãƒâ€°crivains amÃƒÂ©ricains, Romans, Manners and customs, Roman fantastique amÃƒÂ©ricain, American Short stories",5.82 x 1.28 x 7.54 inches,
A4-B2-0048,Lun yu,Confucius,1750,Philosophy,Humanities,5,1,15_Jul_24,4.79 out of 5 stars,1 rating,$18.48 ,zh-CN,249,,"Chinese Philosophy, Ã¥â€žâ€™Ã¥Â®Â¶, Translations into English, Chinese classics, Philosophy, Ã¥â€œÂ²Ã¥Â­Â¸, Lun yÃƒÂ¼, great_books_of_the_western_world, Early works to 1800, Ã¤Â¸Â­Ã¥Å“â€¹, Ã¥Â­â€Ã¥Â­Â, Confucian Philosophy, Ã¤Â¸Â­Ã¥â€ºÂ½, Ethics, Confucianism, Chinese Ethics, Long Now Manual for Civilization, Lun yu, Han, ying, Dui zhao du wu, Confucius, Philosophy, chinese, Philosophy, asian, Confucian parables, Ethics--china, Pl2478 .l328 1998, 181/.112, Filosofie, Ethiek",7.99 x 0.5 x 5.38 inches,
A4-B2-0049,The Amazing Adventures of Kavalier & Clay,Michael Chabon,2000,Adventure,Fiction,3,56,21_Sep_24,4.53 out of 5 stars,52 ratings,$0.99 ,en,2,,"American Humorous stories, Arte de escribir, Artists, Artists in fiction, Authorship, Bildungsromans, Cartoonists, Checo-americanos, Comic books, strips, Comic books, strips, etc. in fiction, Cuentos humorÃƒÂ­sticos, Czech Americans, Czech Americans in fiction, FicciÃƒÂ³n, Fiction, Heroes in mass media, Heroes in mass media in fiction, Humorous stories, HÃƒÂ©roes en los medios de comunicaciÃƒÂ³n masiva, Jewish youth, JÃƒÂ³venes (Hombres), MuÃƒÂ±equitos, tiras cÃƒÂ³micas, Young men, Young men in fiction, gay, Technique, Heroes and heroines, Coming of age, Mass media, Humorous fiction, Fiction, humorous, Authors, fiction, New york (n.y.), fiction, Man-woman relationships, Triangles (Interpersonal relations), American fiction, Fiction, humorous, general, Fiction, coming of age, HÃƒÂ©ros dans les mÃƒÂ©dias, Romans, nouvelles, AmÃƒÂ©ricains d'origine tchÃƒÂ¨que, Jeunes hommes, Caricaturistes, Fiction, general, Caricatures and cartoons",5.87 x 0.16 x 7.58 inches,
A4-B2-0050,Bushidō,Inazo Nitobe,1899,History,Humanities,6,6,9_Oct_24,4.76 out of 5 stars,4 ratings,$13.49 ,en,305,,"Bushido, Nonfiction, Philosophy, Vida social y costumbres, Military History, Samurai, Bj971.b8 n57 2004, 170/.44/0952, Christ, Japanese morality, Social life and customs, Civilization, Japanese Philosophy, Ethics, Manners and customs, History, Japan, history, Japan, social life and customs, Ethics, japan, Conduct of life, Martial arts, Philosophy, japanese, Chivalry, Feudalism, Japanese National characteristics, Japan, civilization, Samuri, BushidÃ…Â, World history, Eigo-Tokuhon, Morale",5.3 x 0.8 x 7.6 inches,
A4-B2-0051,El filibusterismo,José Rizal,1900,Satire,Fiction,5,3,9_Dec_24,4.75 out of 5 stars,3 ratings,$17.36 ,en,361,,"Facsimiles, Manuscripts, Spanish Manuscripts, Fiction, Philippines, fiction, Fiction, general, History, El Filibusterismo, Rizal, Jose, 1861-1896, Fiction, psychological, Fiction, satire, Romance literature, Philippine literature (Spanish), Conduct of life, Fiction, historical, general, Married people, fiction",5.14 x 1.48 x 9.19 inches,
A4-B2-0052,Strong Poison,Dorothy L. Sayers,1930,Crime/Thriller,Fiction,5,1,10_Jun_24,No rating available,No reviews,Price not available,eng,233,,"Women detectives, English Detective and mystery stories, Translations into Russian, Harriet Vane (Fictitious character), Private investigators, Lord Wimsey, Peter (Fictitious character), Fiction, Detective and mystery stories, Large type books, Apologetics, Dogma, Time, Fiction, mystery & detective, general, Wimsey, peter, lord (fictitious character), fiction, Fiction, mystery & detective, traditional, England, fiction",5.75 x 1.09 x 8.05 inches,
A4-B2-0053,The King in Yellow,Robert W. Chambers,1895,Horror,Fiction,7,6,18_Aug_24,4.61 out of 5 stars,6 ratings,$6.99 ,en,160,,"Social life and customs, Fiction, Fiction, horror, Fiction, short stories (single author), United states, social life and customs, fiction, Fiction, fantasy, collections & anthologies, Fiction, fantasy, paranormal, American fiction, American Short stories, Cuentos estadounidenses, Fiction, general, Continental european fiction (fictional works by one author), American literature, Literature, American Paranormal fiction, Graphic novels, Literature, history and criticism",6.38 x 0.71 x 8.34 inches,
A4-B2-0054,The Brass Bowl,Louis Joseph Vance,1900,History,Fiction,5,2,18_Nov_24,3.79 out of 5 stars,1 rating,$12.99 ,en,298,,"Fiction, historical, general",5.39 x 1.29 x 6.20 inches,
A4-B2-0055,La porte eÌtroite,AndreÌ Gide,1907,Romance,Fiction,4,3,26_Jul_24,3.97 out of 5 stars,2 ratings,$12.99 ,fr,124,,"Cousins, Fiction, Courtship, Self-denial, Romans, Courtoisie, Le dÃƒÂ©ni de soi, Continental european fiction (fictional works by one author), Study and teaching, Vietnamese language books, Romance Frances, French language materials, Fiction, general, Man-woman relationships, fiction",5.51 x 0.29 x 7.87 inches,
